date,user_id,IP in SH(1) or CQ(0),weibo_id,comment_content_process,bert
2022-03-18,3215131980,1,LkjdDiOmG,微博 渔场 我 刚刚 在 的 渔场 捞到 了 6鱼币 运气 爆棚 嘘 微博 渔场,0.14945045
2022-03-18,5385279665,1,LkhIzw3kc,曲艺界 的 又 开 大 了 新鲜 热辣 的 中国 足球界 要不 要 来 对线 冰墩墩 冰墩墩 冰墩墩 说 相声 的 你 得罪 不 起 视频 的 原作者 开 微博 啦 胜利主义 章 北海 的 微博 视频 赞 5607 原文 转发 697 原文 评论 364 转发 理由 转发 微博,0.4920848
2022-03-18,3215131980,1,LkjdBu8fr,微博 渔场 我 刚刚 在 的 渔场 捞到 了 1鱼币 运气 爆棚 嘘 微博 渔场,0.13370375
2022-03-18,3215131980,1,LkkqNewe2,微博 渔场 我 刚刚 在 的 渔场 捞到 了 18 鱼币 运气 爆棚 嘘 微博 渔场,0.19285542
2022-03-18,6103005527,1,LklBjbsn5,抱歉 作者 已 设置 仅 展示 半年 内 微博 此 微博 已 不可 见 赞 0 原文 转发 0 原文 评论 0 转发 理由 看看 🐸 的 报道 会 觉着 莫斯科 被 包围 了 就 知道 外面 的 认知 障碍 有 多 严重,0.09835748
2022-03-18,6103005527,1,Lkewqr9jI,马克龙 称 北约 本来 已经 脑死亡 了 但 俄罗斯 狠狠 电击 了 它 一番 使得 北约 的 存在 成为 必要 原图 赞 2448 原文 转发 50 原文 评论 242 转发 理由 这 脑 回路 属于 是 长 歪 了,0.073778585
2022-03-18,6103005527,1,Lkegy98oe,关注 俄 乌 局势 最 新 进展 下三滥 的 掌声 就是 这些 鼓掌 的 伪 君子们 促成 了 战争 全世界 的 左派们 借着 乌克兰 上演 一 出 火遍 全球 的 政治 秀 谁 是 幕后 黑手 黄媒 不 会 说 的 真相 小凡 好 摄 的 微博 视频 赞 235 原文 转发 26 原文 评论 40 转发 理由 既 不是 全世界 也 不是 左派,0.04338309
2022-03-18,1027629054,1,LkhffBKUe,俄罗斯 把 美国 在 乌克兰 的 生物 病毒 实验室 的 资料 挂网 上 了 供 全球 下载 下载 地址 网页 链接 普京 称 乌 已 在 美 支持 下制 出 生物武器 部件 俄罗斯 乌克兰 战况 关注 俄 乌 局势 最 新 进展 原图 赞 388 原文 转发 79 原文 评论 140 转发 理由 转发 微博,0.11877071
2022-03-18,3215131980,1,LkjdpptkX,微博 渔场 我 刚刚 在 的 渔场 捞到 了 2鱼币 运气 爆棚 嘘 微博 渔场,0.12177019
2022-03-18,6103005527,1,Lkfrt9J3N,德国 电视 二 台 专访 司马南 2 为什么 不 谴责 俄罗斯 司马南 的 微博 视频 赞 242 原文 转发 41 原文 评论 52 转发 理由 回复 news 的 本质 蒜蓉 · 咖啡 蒜蓉 · 咖啡 经常 看 ZDF 这个 记者 就是 一 意识 形态 怪物 就 没有 一 次 公正 的 报道 中国 放心 吧 这个 采访 一定 会 被 很 好 的 剪辑 作为 中国 民族主义 高涨 的 证据,0.95981526
2022-03-18,3215131980,1,Lkedi15Iq,内涵 与 翻车 乌克兰 俄罗斯 关注 俄 乌 局势 最 新 进展 视频 星 计划 孤烟暮蝉 的 微博 视频 赞 1928 原文 转发 237 原文 评论 178 转发 理由 孤烟暮蝉 冬哥 2518 谢谢 理帮 我们 顺 事实 与 数据 辛苦 了,0.03969098
2022-03-18,2786215997,1,LkiUF11AG,刘涛 工作室 辟谣 离婚 好像 艺人 辟谣 的 最后 都 是 真实 的 赞 39 原文 转发 2 原文 评论 3 转发 理由 脑残 追星族 右边 这个 还 真是 👉🏻 微笑 Tamia妍 大家 快 来看 贱人,0.055538908
2022-03-18,5489863321,1,Lkd0vasoJ,抱歉 作者 已 设置 仅 展示 半年 内 微博 此 微博 已 不可 见 赞 0 原文 转发 0 原文 评论 0 转发 理由 演员 的 高光 时刻,0.04659125
2022-03-18,6510420346,1,LkhWE8BNm,湾区 渣男 划 一下 重点 这是 美国 渣男 俄罗斯 乌克兰 原图 赞 219128 原文 转发 4952 原文 评论 17241 转发 理由 地瓜 熊 老六 他们 只管 中国 鱼 美国 鱼 不 归 他们 管 迷失 印象 炸鱼 违法 我 要 去 农业 农村局 举报 你,0.8055753
2022-03-18,7413097220,0,LkkZkD5Of,组图 共 3 张 原图 赞 6335 原文 转发 180 原文 评论 544 转发 理由 台湾 1450,0.041116536
2022-03-18,3215131980,1,Lke10wYVX,司马南 乌战云 密布 沙特 突然 喜欢 起 人民币 司马南 的 微博 视频 赞 1178 原文 转发 109 原文 评论 174 转发 理由 转发 微博,0.033901006
2022-03-18,7413097220,0,LkeoIDwH9,娱乐圈 可爱 多 超话 乐游 原 许凯路 透 许凯 新 造型 好帅 乐游 原 许凯乐 游原 娱乐圈 可爱 多 的 微博 视频 赞 156 原文 转发 18 原文 评论 10 转发 理由 这 一身 好 许凯,0.08165759
2022-03-18,5618699626,1,LkhAnhnn0,新手 练胸 老手 练 背 背 是 仅次于 大腿 的 第二 大 肌群 无论 对 增肌 还是 减脂 提高 代谢 都 很 关键 下面 是 一 套 家庭 背部 动作 的 详细 图解 加 动作 示范 让 你 学会 正确 的 发力 健身 男士 的 微博 视频 赞 89 原文 转发 54 原文 评论 4 转发 理由 转发 微博,0.047894105
2022-03-18,3215131980,1,Lke1mnVzX,抱歉 作者 已 设置 仅 展示 半年 内 微博 此 微博 已 不可 见 赞 0 原文 转发 0 原文 评论 0 转发 理由 x 肩关节 活动度 非常 有用,0.07891859
2022-03-18,6242457186,1,Lkf2InAn9,辽宋 西夏金 社会 生活史 宇宙 的 终点 海陵 王 原图 赞 17 原文 转发 27 原文 评论 3 转发 理由 阿里斯底波 妇女 之 敌罗 严塔 我 怎么 记得 小黄书 的 说法 是 完颜亮 特殊 性癖 专门 好 抢 亲戚 里 的 人 妻 当 老婆 咖啡师 的 杯子 略 大于 银河系 金 海陵 纵欲 亡身,0.035860453
2022-03-18,6242457186,1,LkgdktrPm,抱歉 作者 已 设置 仅 展示 半年 内 微博 此 微博 已 不可 见 赞 0 原文 转发 0 原文 评论 0 转发 理由 转发,0.047979955
2022-03-18,6242457186,1,LkiwyEjXz,抱歉 作者 已 设置 仅 展示 半年 内 微博 此 微博 已 不可 见 赞 0 原文 转发 0 原文 评论 0 转发 理由 转发,0.063089535
2022-03-18,6242457186,1,LkiwPchy9,🐱 不 听 不 听 王 八念 经 小 猫咪 就是 想 睡 个 觉 而已 被窝 里 数 猫 的 微博 视频 赞 666 原文 转发 185 原文 评论 50 转发 理由 转发,0.05404042
